Category	Fraction	# of collected words	# of words to collect
A       	25%     	37099               	212901
B       	3%      	3404                	26596
C       	7%      	6948                	63052
D       	7%      	20779               	49221
E       	3%      	5711                	24289
F       	5%      	3617                	46383
G       	10%     	7916                	92084
H       	15%     	6505                	143495
I       	25%     	102276              	147724
All     	100%    	194255              	805745
