group,cat,file,author_surname,author_name,title,publ_in,url,publ_part,publ_place,publisher,year,pages,length,alt_orth,errors,comments,author_surname_1,author_name_1,author_surname_2,author_name_2,author_surname_3,author_name_3,author_surname_4,author_name_4,author_surname_5,author_name_5,author_surname_6,author_name_6,author_surname_7,author_name_7,author_surname_8,author_name_8,author_surname_9,author_name_9,author_surname_10,author_name_10
so-so,A,A_1.zt.ua_U_tiurmi_pysmennyky_chytaly_by_Kobzarya_Stusa_ta_Hasheka_2011_June22.txt,,,"У тюрмі письменники читали би «Кобзаря», Стуса та Гашека",1.zt.ua,https://www.1.zt.ua/themes/kultura/u-tyurmi-pismenniki-chitali-bi-kobzarya-stusa-ta-gasheka.html,,Житомир,,2011,,466,1,Снігові і вогню - снігові й вогню; що би я - що б я; Марчікою - Марічкою; як із - як з,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_112.ua_Kobal_i_vashym_i_trokhy_nashym_shcho_daye_ukraini_rishennia_bundestaho_po_pivnichnomu_potoku_2019_June22.txt,Кобаль,Геннадій,"І вашим і трохи нашим: Що дає Україні рішення Бундестагу щодо ""Північного потоку – 2""",112.ua,https://ua.112.ua/mnenie/i-vashym-i-trokhy-nashym-shcho-daie-ukraini-rishennia-bundestahu-po-pivnichnomu-potoku-2-515356.html,,Київ,,2019,,445,0,би - б; проекту - проєкту; у відповідності з - відповідно до; енергопакету - енергопакета; якщо би - якби,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_112.ua_Kuhaleishvili_Rozkol_u_nato_choho_domahaietsia_makron_2019_June22.txt,Кухалейшвілі,Георгій,Розкол у НАТО: Чого домагається Макрон?,112.ua,https://ua.112.ua/statji/rozkol-u-nato-choho-domahaietsia-makron-515349.html,,Київ,,2019,,1455,0,"проектів - проєктів; співтовариство - спільнота, спілка, товариство; позиціонує - позиціює; екс-президент - експрезидент",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_112.ua_Titamyr_uriadovyi_kinets_epokhy_bidnosty_zabahato_sotsialnynkh_pilh_ta_vhyteliv_2019_June22.txt,Тітамир,Олег,Урядовий кінець епохи бідності: Забагато соціальних пільг та вчителів?,112.ua,https://ua.112.ua/mnenie/uriadovyi-kinets-epokhy-bidnosti-zabahato-sotsialnykh-pilh-ta-vchyteliv-516291.html,,Київ,,2019,,1495,0,заскорузлою - зашкорузлою; законопроекти - законопроєкти; за рахунок - внаслідок; би - б; півроку - пів року; зарубіжних - закордонних; затребувані - жадані,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_112.ua_Ukrnafta_otrymala_42_mln_ievro_vid_rf_za_neiakisnu_naftu_2019_June22.txt,,,"«Укртранснафта» отримала 4,2 млн євро від РФ за неякісну нафту",112.ua,https://ua.112.ua/ekonomika/ukrtransnafta-otrymala-42-mln-ievro-vid-rf-za-neiakisnu-naftu-514879.html,,Київ,,2019,,153,0,діючих - чинних; українському нафтопроводах - українських нафтопроводах,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_20.hvylyn_Korpan_rizdviani_yarmarky_u_Europi_kudy_poihaty_ternopolianam_2019_June22.txt,Корпан,Наталія,Різдвяні ярмарки у Європі: скільки коштує поїхати тернополянам,20 хвилин,https://te.20minut.ua/Groshi/rizdvyani-yarmarki-u-evropi-skilki-koshtue-poyihati-ternopolyanam-10976490.html,,Тернопіль,,2019,,709,1,продукти харчування-харчі;користуються найбільшим попитом-мають попит;-Багато-багато;все-рівно-всеодно;із - зі,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_20.hvylyn_Solodka_seksualni_ta_sportyvni_yak_pokrashchyty_samopochuttia_ta_zavdy_buty_u_formi_2019_June22.txt,Солодка,Ліза," Сексуальні та спортивні: як покращити самопочуття та завжди бути у формі",20 хвилин,https://te.20minut.ua/Vin-i-Vona/seksualni-ta-sportivni-yak-pokraschiti-samopochuttya-ta-zavzhdi-buti-u-10976746.html,,Тернопіль,,2019,,993,1,психо-емоційний- психоемоційний; із - зі,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_7_dniv_ua_7_prychyn_vidvidaty_Ternopillya_2013_June22.txt,,,7 причин відвідати Тернопілля,7 днів ua,https://7days-ua.com/news/7-prychyn-vidvidaty-ternopillya/,,Тернопіль,,2013,,1932,0,давайте познайомимося – познайоммось; віруючих – вірян; Більше 400 – Понад 400; з тих пір – відтоді; тут у IX - тут в IX; більше ста – понад сто; Юра в Львові - Юра у Львові; Становлення – зведення; Гріб – Гробу; насипані у - насипані в; із специфічною - зі специфічною; палацово – замковий - палацово–замковий; в світі - у світі; Справа в тому – Річ в тім; районах – районі; надоїдає – набридає; безкінечно – нескінченно; більше двадцяти – понад двадцять; писала одна – писало в одній; водоспадистий – водоспадний; Іване-Золотецькі - Івано-Золотецькі; являють собою – становлять; ведемо мову – мовимо; «старий» Новий рік – Старий Новий рік; «Ріо-де-жанейро» - «Ріо-де-Жанейро»; водопади - водоспади,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Bahnenko_Mizh_smittievym_bakom_ta_polihonom_taryf_chy_tsina_posluhy_2020_June22.txt,Багненко,Дмитро,Між сміттєвим баком та полігоном: тариф чи ціна послуги,"Газета ""Вгору""",https://vgoru.org/index.php/rozsliduvannya/nashi-rozsliduvannya/item/55018-mizh-smittievym-bakom-ta-polihonom-taryf-chy-tsina-posluhy,,,,2020,,482,0,більше п'ятнадцяти - понад п'ятнадцять; виконуюча обов'язки - виконувачка обов'язків,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Bahnenko_Pryvit_batareiko_2020_June22.txt,Багненко,Дмитро,"Привіт, батарейко!","Газета ""Вгору""",https://vgoru.org/index.php/rozsliduvannya/nashi-rozsliduvannya/item/54995-pryvit-batareiko,,,,2020,,1426,0,ртутновмісних - ртутьвмісних; подальшою відправленням - подальшим відправленням; просковзує - є; ємністю - місткістю; пеперобку - перероблювання; тонн - тонни;,,,,,,,,,,,,,,,,,,,,,
